StockCode,Description,TotalUnitsSold,TotalRevenue,ProductPopularityScore
72232,FENG SHUI PILLAR CANDLE,3317,630.2299999999999,2090472.9099999997
90214N,"\"LETTER \"\"N\"\" BLING KEY RING\"",41,29.229999999999997,1198.4299999999998
22701,PINK DOG BOWL,533,879.8900000000001,468981.37000000005
16169K,WRAP FOLK ART,200,84.0,16800.0
21222,SET/4 BADGES BEETLES,269,353.18999999999994,95008.10999999999
35915B,BLUE KNITTED HEN,220,257.2199999999999,56588.39999999998
84499,BLACK FLOWER CANDLE PLATE,7,5.949999999999999,41.64999999999999
84461,12 PINK HEN+CHICKS IN BASKET,35,89.24999999999999,3123.7499999999995
22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1.95,1.95
84796A,PINK HAWAIIAN PICNIC HAMPER FOR 2,61,568.13,34655.93
85132c,CHARLIE AND LOLA FIGURES TINS,3,24.869999999999997,74.60999999999999
23298,"BUNTING , SPOTTY",146,634.7000000000002,92666.20000000003
23104,IVORY PANTRY HANGING LAMP,2,25.0,50.0
22700,smashed,-48,0.0,-0.0
20934,,-15,0.0,-0.0
84597C,,-18,0.0,-0.0
23444,,200,0.0,0.0
22224,WHITE LOVEBIRD LANTERN,831,2755.210000000001,2289579.5100000007
22610,PENS ASSORTED FUNNY FACE,9608,2578.239999999998,2.477172991999998E7
72802C,VANILLA SCENT CANDLE JEWELLED BOX,891,2112.63,1882353.33
20750,RED RETROSPOT MINI CASES,1742,12595.229999999976,2.194089065999996E7
22595,CHRISTMAS GINGHAM HEART,505,502.12,253570.6
22155,STAR DECORATION RUSTIC,2406,1114.29,2680981.7399999998
21349,IVY HEART WREATH,14,128.6,1800.3999999999999
84926A,WAKE UP COCKEREL TILE COASTER,604,210.51999999999992,127154.07999999996
72798C,SET/4 GARDEN ROSE DINNER CANDLE,7,11.549999999999999,80.85
22341,LOVE GARLAND PAINTED ZINC,453,827.6299999999997,374916.38999999984
16161P,WRAP ENGLISH ROSE,7201,2980.42,2.146200442E7
75013B,"STRING OF 8 BUTTERFLIES,PINK",25,41.25,1031.25
22681,FRENCH BLUE METAL DOOR SIGN 6,716,958.3399999999997,686171.4399999998
90129C,GREEN GLASS TASSLE BAG CHARM,35,79.76000000000002,2791.600000000001
35968,FOLK ART METAL HEART T-LIGHT HOLDER,163,82.10000000000001,13382.300000000001
84251G,"GREETING CARD, OVERCROWDED POOL.",270,74.70000000000002,20169.000000000004
90027D,GLASS BEAD HOOP EARRINGS AMETHYST,9,28.4,255.6
85172,wrongly sold as sets,-600,0.0,-0.0
47556B,,-69,0.0,-0.0
72781,,-30,0.0,-0.0
21330,,-4,0.0,-0.0
20826,,-169,0.0,-0.0
21399,,-116,0.0,-0.0
22632,HAND WARMER RED POLKA DOT,120,224.99999999999994,26999.999999999993
35004C,SET OF 3 COLOURED  FLYING DUCKS,358,1717.4999999999998,614864.9999999999
85116,BLACK CANDELABRA T-LIGHT HOLDER,911,1043.8799999999999,950974.6799999999
21955,DOORMAT UNION JACK GUNS AND ROSES,1230,7597.019999999997,9344334.599999996
22582,PACK OF 6 SWEETIE GIFT BOXES,1049,2618.7499999999995,2747068.7499999995
22916,HERB MARKER THYME,1896,1308.3599999999988,2480650.5599999977
22955,36 FOIL STAR CAKE CASES,1192,2070.1500000000015,2467618.8000000017
17003,BROCADE RING PURSE,23053,5863.590000000002,1.3517334027000004E8
21504,SKULLS GREETING CARD,1915,788.9700000000004,1510877.5500000007
22042,CHRISTMAS CARD SINGING ANGEL,399,168.33000000000004,67163.67000000001
84813,SET OF 4 DIAMOND NAPKIN RINGS,165,1389.8399999999997,229323.59999999995
90056,CHUNKY CRACKED GLAZE NECKLACE IVORY,4,43.510000000000005,174.04000000000002
35911B,PINK/FLOWER RABBIT EGG WARMER,119,100.75999999999999,11990.439999999999
23313,VINTAGE CHRISTMAS BUNTING,2984,15768.960000000021,4.705457664000006E7
23354,6 GIFT TAGS 50'S CHRISTMAS,3683,3382.090000000006,1.2456237470000023E7
21011,,-20,0.0,-0.0
35607A,,1,0.0,0.0
84611B,,1287,0.0,0.0
72225C,,-226,0.0,-0.0
85030,,-9,0.0,-0.0
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,1202,1006.9699999999998,1210377.9399999997
85049G,CHOCOLATE BOX RIBBONS,1601,1990.4400000000005,3186694.440000001
22568,FELTCRAFT CUSHION OWL,3078,11411.32,3.512404296E7
10125,MINI FUNKY DESIGN TAPES,1296,994.8400000000004,1289312.6400000006
35916B,BLUE FELT HANGING HEART W FLOWER,16,26.11,417.76
22029,SPACEBOY BIRTHDAY CARD,8173,3392.6099999999915,2.772780152999993E7
21470,FLOWER VINE RAFFIA FOOD COVER,378,1459.0699999999997,551528.4599999998
90195A,PURPLE GEMSTONE BRACELET,19,122.84,2333.96
79337,BLUE FLOCK GLASS CANDLEHOLDER,638,257.68,164399.84
90143,SILVER BRACELET W PASTEL FLOWER,31,237.18,7352.58
21580,RABBIT  DESIGN  COTTON TOTE BAG,181,444.0699999999999,80376.66999999998
35924,HANGING FAIRY CAKE DECORATION,641,1181.7899999999997,757527.3899999998
85179C,PINK BITTY LIGHT CHAIN,106,201.30999999999995,21338.859999999993
90214T,"\"LETTER \"\"T\"\" BLING KEY RING\"",24,13.46,323.04
78033,FLAG OF ST GEORGE CHAIR,35,167.45,5860.75
37487B,YELLOW/ORANGE FLOWER DESIGN PLATE,68,19.72,1340.96
84510e,SET OF 4 GREEN CAROUSEL COASTERS,1,2.46,2.46
23061,VINTAGE EMBOSSED HEART,970,1276.4299999999998,1238137.0999999999
85019C,Damaged,-108,0.0,-0.0
21696,,-320,0.0,-0.0
20849,,1,0.0,0.0
85197,,28,0.0,0.0
22459,,29,0.0,0.0
21446,,-50,0.0,-0.0
84341B,,-181,0.0,-0.0
21984,PACK OF 12 PINK PAISLEY TISSUES,3413,1099.5500000000004,3752764.1500000013
10133,COLOURING PENCILS BROWN TUBE,2857,1540.0200000000002,4399837.140000001
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",901,1652.2699999999998,1488695.2699999998
85199S,SMALL HANGING IVORY/RED WOOD BIRD,2643,1295.17,3423134.31
21787,RAIN PONCHO RETROSPOT,8350,6743.650000000003,5.630947750000003E7
22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,1128,1317.0800000000002,1485666.2400000002
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,107.52
90125E,AMBER BERTIE GLASS BEAD BAG CHARM,11,21.049999999999997,231.54999999999995
85065,CREAM SWEETHEART TRAYS,-1,-12.75,12.75
23205,CHARLOTTE BAG ALPHABET  DESIGN,400,320.5,128200.0
62043B,BLUE CHECK BAG W HANDLE 34X20CM,16,13.28,212.48
22922,sold as set on dotcom,-42,0.0,-0.0
22939,ADULT APRON APPLE DELIGHT,185,950.8299999999999,175903.55
10134,,-19,0.0,-0.0
62043B,,6,0.0,0.0
21067,,-34,0.0,-0.0
21432,,-2,0.0,-0.0
22553,PLASTERS IN TIN SKULLS,4209,7038.070000000013,2.9623236630000055E7
21889,WOODEN BOX OF DOMINOES,6377,8829.790000000003,5.630757083000002E7
22797,CHEST OF DRAWERS GINGHAM HEART,149,2614.060000000001,389494.9400000001
85136A,YELLOW SHARK HELICOPTER,72,580.3599999999998,41785.919999999984
22090,PAPER BUNTING RETROSPOT,7516,22594.56000000005,1.6982071296000037E8
22517,CHILDS GARDEN RAKE PINK,206,462.33000000000027,95239.98000000005
20840,FRENCH FLORAL CUSHION COVER,521,622.1200000000001,324124.5200000001
22617,BAKING SET SPACEBOY DESIGN,2181,10602.89999999999,2.312492489999998E7
21413,PERIWINKLE T-LIGHT HOLDER,48,75.02,3600.96
21785,RAIN PONCHO,412,269.61,111079.32
72051S,BAG OF SILVER STONES,131,89.94999999999999,11783.449999999999
84313B,BLUE TV TRAY TABLE,127,518.61,65863.47
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES,62,155.54999999999998,9644.099999999999
90023,FILIGREE DIAMANTE EARRINGS,13,55.019999999999996,715.26
21425,SKULLS STORAGE BOX LARGE,87,320.48999999999995,27882.629999999997
85049g,CHOCOLATE BOX RIBBONS,113,276.41999999999996,31235.459999999995
22247,BUNNY DECORATION MAGIC GARDEN,670,593.1400000000003,397403.8000000002
47589,CONGRATULATIONS BUNTING,13,70.85000000000001,921.0500000000001
84661A,WHITE SQUARE TABLE CLOCK,104,167.79,17450.16
90131,PINK/AMETHYST/GOLD NECKLACE,5,34.870000000000005,174.35000000000002
37482P,Damaged,-93,0.0,-0.0
23196,RETO LEAVES MAGNETIC SHOPPING LIST,36,52.199999999999996,1879.1999999999998
16169E,WRAP 50'S  CHRISTMAS,4438,1839.96,8165742.48
90091,,-1,0.0,-0.0
21684,,-62,0.0,-0.0
84877A,,-21,0.0,-0.0
22968,ROSE COTTAGE KEEPSAKE BOX,775,7673.079999999986,5946636.99999999
20717,STRAWBERRY SHOPPER BAG,2835,3536.980000000003,1.0027338300000008E7
22274,FELTCRAFT DOLL EMILY,1340,3953.480000000006,5297663.200000008
22511,RETROSPOT BABUSHKA DOORSTOP,250,491.45000000000005,122862.50000000001
47504H,ENGLISH ROSE SPIRIT LEVEL,974,959.3800000000003,934436.1200000003
21803,CHRISTMAS TREE STAR DECORATION,2390,1031.56,2465428.4
21507,"ELEPHANT, BIRTHDAY CARD,",2198,940.4199999999988,2067043.1599999974
22431,WATERING CAN BLUE ELEPHANT,2054,3987.009999999998,8189318.539999995
21849,SILVER DIAMANTE PEN IN GIFT BOX,175,558.8299999999997,97795.24999999994
90185B,AMETHYST DIAMANTE EXPANDABLE RING,14,58.77,822.7800000000001
21927,BLUE/CREAM STRIPE CUSHION COVER,584,722.4,421881.6
21876,POTTERING MUG,3754,4775.609999999997,1.792763993999999E7
22860,EASTER TIN CHICKS PINK DAISY,583,1007.8699999999984,587588.209999999
90162C,ANT SILVER FUSCHIA BOUDICCA RING,14,41.300000000000004,578.2
84620,BLUE GINGHAM ROSE CUSHION COVER,2,11.9,23.8
20898,VINTAGE NOTEBOOK TRAVELOGUE,32,88.02999999999999,2816.9599999999996
23139,SINGLE WIRE HOOK PINK HEART,403,512.75,206638.25
23110,PARISIENNE KEY CABINET,651,3865.430000000001,2516394.9300000006
21135,sold as set on dotcom,-304,0.0,-0.0
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,2837,13254.85,3.760400945E7
22795,,-3,0.0,-0.0
84913A,,-75,0.0,-0.0
21635,,-7,0.0,-0.0
21724,PANDA AND BUNNIES STICKER SHEET,408,355.8299999999998,145178.63999999993
22540,MINI JIGSAW CIRCUS PARADE,2518,960.44,2418387.92
21823,PAINTED METAL HEART WITH HOLLY BELL,1373,854.7400000000001,1173558.0200000003
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,541,1213.2900000000004,656389.8900000002
22712,CARD DOLLY GIRL,4458,1831.8599999999988,8166431.879999994
22600,CHRISTMAS RETROSPOT STAR WOOD,1672,1521.130000000001,2543329.3600000017
21991,BOHEMIAN COLLAGE STATIONERY SET,623,1065.8199999999997,664005.8599999999
21351,CINAMMON & ORANGE WREATH,97,625.6300000000001,60686.11000000001
22638,SET OF 4 NAPKIN CHARMS CROWNS,299,479.33000000000004,143319.67
21059,PARTY INVITES DINOSAURS,599,518.0299999999997,310299.96999999986
22060,LARGE CAKE STAND HANGING HEARTS,217,1031.7500000000007,223889.75000000015
21635,MADRAS NOTEBOOK LARGE,271,374.96000000000004,101614.16
84789,ENCHANTED BIRD PLANT CAGE,187,644.47,120515.89
35833G,4 GOLD FLOCK CHRISTMAS BALLS,2,6.72,13.44
90074,BLACK DIAMOND CLUSTER NECKLACE,4,37.239999999999995,148.95999999999998
22992,REVOLVER WOODEN RULER,4520,9186.440000000004,4.152270880000002E7
23126,DOLLCRAFT GIRL AMELIE,36,178.20000000000002,6415.200000000001
20838,FRENCH LATTICE CUSHION COVER,373,451.2499999999999,168316.24999999997
23273,HEART T-LIGHT HOLDER WILLIE WINKIE,965,1642.4499999999991,1584964.249999999
23290,SPACEBOY CHILDRENS BOWL,2427,2886.6000000000013,7005778.200000003
23235,BISCUIT TIN VINTAGE LEAF,24,64.56,1549.44
84968B,,-19,0.0,-0.0
22867,,-96,0.0,-0.0
15058A,,20,0.0,0.0
21143,,-17,0.0,-0.0
37444C,,4,0.0,0.0
22645,CERAMIC HEART FAIRY CAKE MONEY BANK,2347,4697.280000000006,1.1024516160000015E7
21156,RETROSPOT CHILDRENS APRON,3132,6016.999999999995,1.8845243999999985E7
21821,GLITTER STAR GARLAND WITH BELLS,239,992.0500000000001,237099.95
21563,RED HEART SHAPE LOVE BUCKET,1395,2803.1300000000024,3910366.3500000034
17084P,DRAGONS BLOOD INCENSE,423,104.44000000000003,44178.12000000001
22944,CHRISTMAS METAL POSTCARD WITH BELLS,3362,1837.7100000000003,6178381.0200000005
22365,DOORMAT RESPECTABLE HOUSE,791,5746.380000000003,4545386.580000002
22209,WOOD STAMP SET HAPPY BIRTHDAY,938,958.4100000000003,898988.5800000003
21900,"KEY FOB , SHED",3230,2197.820000000002,7098958.600000006
21618,4 WILDFLOWER BOTANICAL CANDLES,406,770.8699999999999,312973.22
21144,PINK POODLE HANGING DECORATION,-7,12.24,-85.68
21793,CLASSIC FRENCH STYLE BASKET BROWN,304,1296.6100000000006,394169.4400000002
85230A,OPIUM SCENTED VOTIVE CANDLE,840,203.27999999999997,170755.19999999998
DCGS0070,CAMOUFLAGE DOG COLLAR,1,12.72,12.72
22502,reverse 21/5/10 adjustment,-100,0.0,-0.0
85168B,BLACK BAROQUE CARRIAGE CLOCK,51,432.78999999999985,22072.289999999994
85198,ASSORTED FARMYARD ANIMALS IN BUCKET,90,74.58,6712.2
84466,TOP SECRET PEN SET,46,57.5,2645.0
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,2083,1768.8700000000015,3684556.210000003
23130,MISTLETOE HEART WREATH GREEN,873,3638.829999999999,3176698.589999999
23245,SET OF 3 REGENCY CAKE TINS,6267,30756.449999999946,1.9275067214999965E8
21391,Sold as 1 on dotcom,-342,0.0,-0.0
23327,HANGING CLEAR MINI BOTTLE,1726,1046.4199999999998,1806120.9199999997
84539,,6,0.0,0.0
22376,AIRLINE BAG VINTAGE JET SET WHITE,255,1141.7,291133.5
48138,DOORMAT UNION FLAG,3750,25512.099999999995,9.567037499999999E7
47591D,PINK FAIRY CAKE CHILDRENS APRON,3209,6056.349999999993,1.9434827149999976E7
22503,CABIN BAG VINTAGE PAISLEY,80,1548.2700000000013,123861.60000000011
40001,WHITE BAMBOO RIBS LAMPSHADE,802,663.0699999999998,531782.1399999999
20755,BLUE PAISLEY POCKET BOOK,307,272.0199999999999,83510.13999999997
90128B,BLUE LEAVES AND BEADS PHONE CHARM,2,3.76,7.52
21682,LARGE MEDINA STAMPED METAL BOWL,179,916.1100000000001,163983.69000000003
51020B,STRIPY DESIGN SHOWER CAP,196,70.27999999999999,13774.879999999997
84510C,SET OF 4 POLKADOT COASTERS,134,213.82999999999993,28653.21999999999
90175B,PINK GLASS CHUNKY CHARM BRACELET,10,91.68,916.8000000000001
15056n,EDWARDIAN PARASOL NATURAL,127,1585.2800000000002,201330.56000000003
23000,TRAVEL CARD WALLET TRANSPORT,3132,1352.7400000000005,4236781.680000002
72140E,BEST DAD CANDLE LETTERS,30,25.499999999999996,764.9999999999999
16020C,CLEAR STATIONERY BOX SET,84,69.89999999999999,5871.599999999999
23103,BELL HEART DECORATION,252,387.0,97524.0
23129,HEART SHAPED HOLLY WREATH,949,3995.3499999999976,3791587.1499999976
21373,MIRRORED WALL ART SNOWFLAKES,500,380.03999999999996,190019.99999999997
23125,6PC WOOD PLATE SET DISPOSABLE,459,574.8799999999999,263869.9199999999
71143,ANTIQUE SILVER BOOK MARK WITH BEADS,17,14.11,239.87
20702,,11,0.0,0.0
84247L,,8,0.0,0.0
84415B,,-9,0.0,-0.0
22963,JAM JAR WITH GREEN LID,3152,2670.7000000000035,8418046.400000012
22092,BLUE PAISLEY TISSUE BOX,672,322.17999999999995,216504.95999999996
82600,NO SINGING METAL SIGN,4751,10122.559999999994,4.809228255999997E7
22740,POLKADOT PEN,6842,5793.620000000014,3.9639948040000096E7
20711,JUMBO BAG TOYS,4986,10974.310000000036,5.4717909660000175E7
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,3235,10534.90000000003,3.40804015000001E7
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,68,74.63999999999999,5075.519999999999
21366,MIRRORED WALL ART PHOTO FRAMES,89,470.1700000000001,41845.130000000005
21220,SET/4 BADGES DOGS,348,457.5099999999999,159213.47999999995
20765,CHRYSANTHEMUM SKETCHBOOK,104,423.55,44049.200000000004
21205,MULTICOLOUR 3D BALLS GARLAND,233,626.1900000000003,145902.27000000008
22609,PENS ASSORTED SPACEBALL,5910,1374.9399999999996,8125895.399999998
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,644,762.82,491256.08
21319,GLASS CHALICE GREEN  SMALL,160,174.13,27860.8
37447,CERAMIC CAKE DESIGN SPOTTED PLATE,803,1289.39,1035380.17
72131,COLUMBIAN CANDLE RECTANGLE,137,238.34999999999997,32653.949999999997
72132,COLUMBIAN CUBE CANDLE,28,54.599999999999994,1528.7999999999997
79191D,RETRO PLASTIC DAISY TRAY,23,27.409999999999997,630.43
20933,YELLOW POT PLANT CANDLE,23,71.05000000000001,1634.1500000000003
22997,TRAVEL CARD WALLET UNION JACK,2517,1083.1699999999996,2726338.889999999
23156,SET OF 5 MINI GROCERY MAGNETS,1648,3387.9300000000017,5583308.640000002
84839,SWEETHEART KEY CABINET,-1,-5.55,5.55
21653,,-6,0.0,-0.0
20684,,-45,0.0,-0.0
84966A,,-17,0.0,-0.0
84535A,,399,0.0,0.0
84569D,,-70,0.0,-0.0
22192,,-9,0.0,-0.0
18097A,,-23,0.0,-0.0
22839,3 TIER CAKE TIN GREEN AND CREAM,433,6802.269999999998,2945382.909999999
22242,5 HOOK HANGER MAGIC TOADSTOOL,606,938.2799999999996,568597.6799999998
21592,RETROSPOT CIGAR BOX MATCHES,2162,2164.4599999999996,4679562.52
22187,GREEN CHRISTMAS TREE CARD HOLDER,1262,3230.9800000000005,4077496.7600000007
21873,IF YOU CAN'T STAND THE HEAT MUG,1530,1737.9799999999993,2659109.399999999
15036,ASSORTED COLOURS SILK FAN,23082,18064.159999999956,4.16956941119999E8
85036b,CHOCOLATE 1 WICK MORRIS BOX CANDLE,1,8.47,8.47
47480,HANGING PHOTO CLIP ROPE LADDER,748,1277.4699999999996,955547.5599999997
90161D,ANT COPPER PINK BOUDICCA BRACELET,64,318.89000000000004,20408.960000000003
22826,LOVE SEAT ANTIQUE WHITE METAL,54,5692.5,307395.0
79323B,BLACK CHERRY LIGHTS,0,0.0,0.0
84617,NEW BAROQUE BLACK BOXES,3,38.25,114.75
21461,BLUE EASTER EGG HUNT START POST,9,21.909999999999997,197.18999999999997
84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,256,2393.5899999999974,612759.0399999993
21636,MADRAS NOTEBOOK MEDIUM,919,709.66,652177.5399999999
23032,DRAWER KNOB CRACKLE GLAZE IVORY,2116,3532.680000000002,7475150.880000005
23034,DRAWER KNOB CERAMIC BLACK,985,1457.3700000000006,1435509.4500000007
20798,,5,0.0,0.0
20759,,-52,0.0,-0.0
84666,,-5,0.0,-0.0
21743,STAR PORTABLE TABLE LIGHT,291,864.0500000000001,251438.55000000002
21588,RETROSPOT GIANT TUBE MATCHES,1496,3447.5999999999985,5157609.599999998
85131B,BEADED CRYSTAL HEART GREEN ON STICK,623,521.1100000000004,324651.5300000002
85177,BASKET OF FLOWERS SEWING KIT,812,644.2099999999998,523098.51999999984
20676,RED RETROSPOT BOWL,5054,6413.560000000006,3.241413224000003E7
20684,STRAWBERRY DREAM CHILDS UMBRELLA,81,273.81,22178.61
20770,ABSTRACT CIRCLE JOURNAL,185,449.8,83213.0
21191,LARGE WHITE HONEYCOMB PAPER BELL,562,1451.8200000000002,815922.8400000001
17014A,ORIGAMI VANILLA INCENSE CONES,155,71.19000000000001,11034.450000000003
21877,HOME SWEET HOME MUG,4366,5808.009999999998,2.5357771659999993E7
90186A,AMETHYST HOOP EARRING FLORAL LEAF,12,35.11,421.32
90039B,FIRE POLISHED GLASS BRACELET MONTAN,11,41.309999999999995,454.40999999999997
90037A,TINY CRYSTAL BRACELET RED,1,2.48,2.48
22995,TRAVEL CARD WALLET SUKI,2340,1041.4200000000005,2436922.800000001
23071,MARIE ANTOIENETT TRINKET BOX GOLD,1,12.5,12.5
84984A,GREEN PEONY CUSHION COVER,19,88.35000000000001,1678.65
23306,SET OF 36 DOILIES PANTRY DESIGN,2734,3973.450000000007,1.086341230000002E7
22924,sold as set on dotcom,-30,0.0,-0.0
23014,GLASS APOTHECARY BOTTLE ELIXIR,849,3391.9299999999985,2879748.569999999
84984D,ORIENTAL RED CUSHION COVER,13,60.45,785.85
22525,,-61,0.0,-0.0
35916B,,-21,0.0,-0.0
84857B,,24,0.0,0.0
81953B,,-6,0.0,-0.0
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,1552,5624.110000000003,8728618.720000004
22150,3 STRIPEY MICE FELTCRAFT,3019,5903.9400000000005,1.7823994860000003E7
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1048,2295.0099999999993,2405170.479999999
20835,FRENCH LATTICE CUSHION COVER,67,65.8,4408.599999999999
16156S,WRAP PINK FAIRY CAKES,5800,2331.0,1.35198E7
22116,METAL SIGN HIS DINNER IS SERVED,563,610.2199999999998,343553.85999999987
21647,ASSORTED TUTTI FRUTTI LARGE PURSE,117,245.70000000000002,28746.9
90104,PURPLE FRANGIPANI HAIRCLIP,28,23.16,648.48
90129E,PURPLE GLASS TASSLE BAG CHARM,42,77.03999999999999,3235.68
21382,SET/4 SPRING FLOWER DECORATION,1140,1383.0799999999995,1576711.1999999995
46000M,Dotcom sales,-100,0.0,-0.0
90011B,BLACK CRYSTAL DROP EARRINGS,12,35.27,423.24
79323P,PINK CHERRY LIGHTS,-4,-27.0,108.0
84805B,wet damaged,-96,0.0,-0.0
20864,,-1,0.0,-0.0
84964B,,-1,0.0,-0.0
20785,,-2,0.0,-0.0
84864A,,-2,0.0,-0.0
17096,,-48,0.0,-0.0
22087,,-47,0.0,-0.0
85195,,-13,0.0,-0.0
22068,BLACK PIRATE TREASURE CHEST,518,841.9300000000002,436119.7400000001
22575,METAL MERRY CHRISTMAS WREATH,633,1210.3700000000003,766164.2100000002
21520,BOOZE & WOMEN GREETING CARD,502,213.35000000000002,107101.70000000001
35471D,SET OF 3 BIRD LIGHT PINK FEATHER,1860,982.0699999999994,1826650.1999999988
46000R,POLYESTER FILLER PAD 45x30cm,103,149.35000000000002,15383.050000000003
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1114,4224.630000000001,4706237.820000001
85049e,SCANDINAVIAN REDS RIBBONS,109,360.71000000000004,39317.39000000001
21632,VINTAGE PINK DECORATIVE PARASOL,88,489.7400000000002,43097.12000000002
90160C,TURQ+RED BOUDICCA LARGE BRACELET,54,377.03999999999996,20360.159999999996
22903,CALENDAR FAMILY FAVOURITES,193,550.5999999999999,106265.79999999999
72780,BLACK SILOUETTE CANDLE PLATE,137,116.45,15953.65
84745B,BLUE HANGING GINGHAM EASTER HEN,32,13.44,430.08
22797,damages,-27,0.0,-0.0
85175,? sold as sets?,-1200,0.0,-0.0
85028S,FRENCH CHATEAU SMALL FRUITBOWL,24,51.59999999999999,1238.3999999999996
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,40,42.58,1703.1999999999998
82583,FBA,160,0.0,0.0
21735,damages,-59,0.0,-0.0
21488,,-42,0.0,-0.0
47579,,-1,0.0,-0.0
84880,,-5,0.0,-0.0
22078,,-197,0.0,-0.0
21792,,-8,0.0,-0.0
22500,SET OF 2 TINS JARDIN DE PROVENCE,253,980.7,248117.1
85071C,"\"CHARLIE+LOLA\"\"EXTREMELY BUSY\"\" SIGN\"",683,427.9999999999999,292323.99999999994
22078,RIBBON REEL LACE DESIGN,1381,2948.41,4071754.21
22282,12 EGG HOUSE PAINTED WOOD,148,2365.770000000001,350133.96000000014
22952,72 CAKE CASES VINTAGE CHRISTMAS,24,13.200000000000001,316.8
16169P,WRAP GREEN RUSSIAN FOLKART,50,21.0,1050.0
84199,GLOW IN DARK DOLPHINS,139,29.190000000000005,4057.4100000000008
22837,?,-106,0.0,-0.0
21757,LIGHTHOUSE PRINTED METAL SIGN,6,29.700000000000003,178.20000000000002
84806B,WHITE CANDYSTUFT ARTIFICIAL FLOWER,308,411.56,126760.48
84750A,PINK SMALL GLASS CAKE STAND,-3,-5.85,17.549999999999997
23077,DOUGHNUT LIP GLOSS,10355,13645.769999999997,1.4130194834999996E8
23072,MARIE ANTOINETTE TRINKET BOX SILVER,262,889.7600000000001,233117.12000000002
84801A,wet damaged,-48,0.0,-0.0
23241,TREASURE TIN GYMKHANA DESIGN,2177,4694.510000000001,1.0219948270000003E7
22940,FELTCRAFT CHRISTMAS FAIRY,1896,7854.499999999999,1.4892131999999998E7
84944,SET OF 6 KASHMIR FOLKART BAUBLES,653,1026.21,670115.13
85135B,BLUE DRAGONFLY HELICOPTER,64,516.5999999999997,33062.39999999998
21218,RED SPOTTY BISCUIT TIN,2384,9951.239999999994,2.3723756159999985E7
90209C,PINK ENAMEL+GLASS HAIR COMB,260,474.19999999999993,123291.99999999999
22272,FELTCRAFT DOLL MARIA,195,561.9700000000001,109584.15000000002
21032,SPACE CADET WHITE,98,119.02999999999999,11664.939999999999
90031,BILI NUT AND WOOD NECKLACE,50,59.89,2994.5
90135A,ORANGE/FUSCHIA STONES NECKLACE,1,4.98,4.98
16049,TEATIME GEL PENS ASST,504,82.08,41368.32
72811,SMALL ZINC/GLASS CANDLEHOLDER,53,78.92999999999999,4183.29
84576,damaged,-3,0.0,-0.0
85232B,,5,0.0,0.0
22428,ENAMEL FIRE BUCKET CREAM,250,1833.9100000000008,458477.5000000002
22466,FAIRY TALE COTTAGE NIGHTLIGHT,2089,3618.6500000000033,7559359.850000007
84949,SILVER HANGING T-LIGHT HOLDER,4538,7230.090000000007,3.2810148420000035E7
47563A,RETRO LONGBOARD IRONING BOARD COVER,282,547.76,154468.32
22217,T-LIGHT HOLDER HANGING LACE,800,782.51,626008.0
22227,HANGING HEART MIRROR DECORATION,2339,1706.7699999999995,3992135.029999999
15044B,BLUE PAPER PARASOL,320,943.8800000000003,302041.6000000001
72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,657,303.55000000000007,199432.35000000003
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,385,1811.5699999999997,697454.4499999998
21745,GAOLERS KEYS DECORATIVE GARDEN,934,3471.9799999999996,3242829.3199999994
22324,BLUE POLKADOT KIDS BAG,286,688.2999999999997,196853.79999999993
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,233,535.97,124881.01000000001
90196A,PURPLE GEMSTONE NECKLACE 45CM,8,102.0,816.0
35599B,BLACK CHRISTMAS TREE 120CM,217,551.1299999999999,119595.20999999998
21943,CAKES AND RABBITS DESIGN FLANNEL,119,134.48999999999995,16004.309999999994
22486,PLASMATRONIC LAMP,65,369.94999999999993,24046.749999999996
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,17,28.049999999999997,476.84999999999997
84510c,SET OF 4 POLKADOT COASTERS,40,98.70000000000002,3948.000000000001
90039D,FIRE POLISHED GLASS BRACELET GREEN,21,78.69,1652.49
22263,FELT EGG COSY LADYBIRD,278,164.48,45725.439999999995
46776D,WOVEN SUNSET CUSHION COVER,89,378.2899999999999,33667.80999999999
84616,SILVER ROCCOCO CHANDELIER,11,414.46999999999997,4559.17
